match,metric_ffreq_a,metric_lfreq_a,metric_ffreq_b,metric_lfreq_b,metric_gender_code,metric_race_code,metric_year,metric_year_align,metric_fname_letters_align,metric_ffreq_min,metric_ffreq_max,metric_ffreq_mean,metric_lfreq_min,metric_lfreq_max,metric_lfreq_mean,metric_fname_dl,metric_fname_jaccard,metric_fname_jw,metric_fname_lcs,metric_fname_lv,metric_fname_osa,metric_fname_qgram,metric_fname_soundex,metric_fname_longest_dl,metric_fname_longest_jaccard,metric_fname_longest_jw,metric_fname_longest_lcs,metric_fname_longest_lv,metric_fname_longest_osa,metric_fname_longest_qgram,metric_fname_longest_soundex,metric_lname_dl,metric_lname_jaccard,metric_lname_jw,metric_lname_lcs,metric_lname_lv,metric_lname_osa,metric_lname_qgram,metric_lname_soundex,metric_lname_longest_dl,metric_lname_longest_jaccard,metric_lname_longest_jw,metric_lname_longest_lcs,metric_lname_longest_lv,metric_lname_longest_osa,metric_lname_longest_qgram,metric_lname_longest_soundex,metric_distance_from_identical
0,0.02996056950901193,-0.7715383616432309,0.0751212496943774,-0.8151836359591872,TRUE,TRUE,11,0.6666666666666666,0,0.02996056950901193,0.0751212496943774,0.02996056950901193,-0.8151836359591872,-0.7715383616432309,-0.7715383616432309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.625,0.3571428571428572,7,6,6,7,1,6,0.625,0.3571428571428572,7,6,6,7,1,14.179138321995463
1,2.3773471013267296,1.5561944221768453,2.4490716125819088,1.5597439640775188,TRUE,TRUE,1,0.3333333333333333,0,2.3773471013267296,2.4490716125819088,2.3773471013267296,1.5561944221768453,1.5597439640775188,1.5561944221768453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111
1,0.7399725451822722,-0.8090824388016191,0.831817927864778,-0.8151836359591872,TRUE,FALSE,0,0,0,0.7399725451822722,0.831817927864778,0.7399725451822722,-0.8151836359591872,-0.8090824388016191,-0.8090824388016191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.2163701159286498,1.00554795718715,-0.5183663410275055,-0.6854061714763071,FALSE,TRUE,12,0.6666666666666666,0,-0.5183663410275055,-0.2163701159286498,-0.2163701159286498,-0.6854061714763071,1.00554795718715,1.00554795718715,3,0.4285714285714286,0.30000000000000004,5,3,3,3,0,3,0.4285714285714286,0.30000000000000004,5,3,3,3,0,5,1,1,8,5,5,8,1,5,1,1,8,5,5,8,1,18.5
0,-0.7235215271238357,3.495971742026909,-0.3848316331150818,-0.568606453441715,TRUE,TRUE,13,0.6666666666666666,0,-0.7235215271238357,-0.3848316331150818,-0.7235215271238357,-0.568606453441715,3.495971742026909,3.495971742026909,3,0.7142857142857143,0.3666666666666667,5,3,3,5,0,3,0.7142857142857143,0.3666666666666667,5,3,3,5,0,6,0.5714285714285714,0.3416666666666667,7,6,6,7,1,6,0.5714285714285714,0.3416666666666667,7,6,6,7,1,20.060277777777774
0,0.21833109366722384,1.5561944221768453,0.20865595760680106,-0.8151836359591872,TRUE,TRUE,17,0.6666666666666666,0,0.20865595760680106,0.21833109366722384,0.21833109366722384,-0.8151836359591872,1.5561944221768453,1.5561944221768453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,13,7,7,13,1,7,1,1,13,7,7,13,1,33.111111111111114
0,1.3630442789363577,-0.15831843472288815,1.395631139050567,-0.8151836359591872,TRUE,TRUE,34,0.6666666666666666,0,1.3630442789363577,1.395631139050567,1.3630442789363577,-0.8151836359591872,-0.15831843472288815,-0.15831843472288815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8461538461538461,0.5887445887445888,16,10,10,14,1,7,1,1,10,7,7,10,1,129.2708907254362
0,-0.46270080136631153,3.495971742026909,-0.5035291512594584,-0.620517439234867,TRUE,TRUE,15,0.6666666666666666,0,-0.5035291512594584,-0.46270080136631153,-0.46270080136631153,-0.620517439234867,3.495971742026909,3.495971742026909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0.6666666666666667,14,8,8,12,1,8,0.8,0.6666666666666667,14,8,8,12,1,26
1,0.2328211339870863,2.0442674252358937,0.3273534757511776,-0.023541102613618563,TRUE,TRUE,0,0,0,0.2328211339870863,0.3273534757511776,0.2328211339870863,-0.023541102613618563,2.0442674252358937,2.0442674252358937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.8,0.5634920634920635,11,6,6,9,1,6,0.8,0.5634920634920635,11,6,6,9,1,0.7346938775510203
0,0.14588089206791158,0.9304598028703733,0.2383303371428952,0.6513017126973579,TRUE,TRUE,0,0,0,0.14588089206791158,0.2383303371428952,0.14588089206791158,0.6513017126973579,0.9304598028703733,0.9304598028703733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.4444444444444444,0.48611111111111116,8,7,7,4,1,7,0.4444444444444444,0.48611111111111116,8,7,7,4,1,0.765625
